question_id,image_id,question_type,question,wording_pattern,canonical_target,ground_truth,prediction,confidence,confidence_range,count_bucket,model_used,fallback_used,endpoint_error
23431,234,count,What is the amount of circular buildings?,amount-of,building,2,1,0.3937561511993408,0.00-0.49,2-5,RSVQA Specialist v1,False,
23433,234,count,How many farmlands are there?,how-many,agriculture,37,49,0.03855980187654495,0.00-0.49,21-50,RSVQA Specialist v1,False,
23441,234,count,What is the amount of rectangular buildings?,amount-of,building,204,201+,0.9874022603034973,0.90-1.00,201+,RSVQA Specialist v1,False,
23443,234,count,What is the amount of medium commercial buildings in the image?,amount-of,building,0,1,0.2585009038448334,0.00-0.49,0,RSVQA Specialist v1,False,
23445,234,count,What is the number of circular water areas?,number-of,water,1,0,0.580122709274292,0.50-0.74,1,RSVQA Specialist v1,False,
23446,234,comp,Are there more water areas than circular buildings?,more-than,water vs building,yes,no,0.5562722086906433,0.50-0.74,n/a,RSVQA Specialist v1,False,
23470,234,count,How many square buildings are there?,how-many,building,2,1,0.3368062376976013,0.00-0.49,2-5,RSVQA Specialist v1,False,
23483,234,count,How many square water areas are there?,how-many,water,1,0,0.8174540400505066,0.75-0.89,1,RSVQA Specialist v1,False,
23491,234,count,What is the number of large farmlands next to a  small building?,number-of,agriculture,36,14,0.07393422722816467,0.00-0.49,21-50,RSVQA Specialist v1,False,
23494,234,count,What is the number of medium water areas?,number-of,water,6,8,0.16767750680446625,0.00-0.49,6-10,RSVQA Specialist v1,False,
23499,234,presence,Is there a square water area?,is-there,water,yes,no,0.5295810699462891,0.50-0.74,n/a,RSVQA Specialist v1,False,
23503,234,count,What is the amount of rectangular water areas?,amount-of,water,10,8,0.09199206531047821,0.00-0.49,6-10,RSVQA Specialist v1,False,
23505,234,count,How many square residential buildings are there?,how-many,building,2,0,0.2878831923007965,0.00-0.49,2-5,RSVQA Specialist v1,False,
23507,234,count,What is the number of commercial buildings on the right of a  forest?,number-of,building,2,4,0.21252693235874176,0.00-0.49,2-5,RSVQA Specialist v1,False,
23510,235,count,What is the number of buildings?,number-of,building,5,58,0.060065269470214844,0.00-0.49,2-5,RSVQA Specialist v1,False,
23511,235,count,What is the amount of residential buildings?,amount-of,building,3,15,0.0750029981136322,0.00-0.49,2-5,RSVQA Specialist v1,False,
23514,235,count,What is the number of commercial buildings?,number-of,building,1,0,0.7670631408691406,0.75-0.89,1,RSVQA Specialist v1,False,
23515,235,count,What is the number of scrubs?,number-of,scrub,7,10,0.20910899341106415,0.00-0.49,6-10,RSVQA Specialist v1,False,
23517,235,count,How many forests are there?,how-many,forest,5,3,0.31671667098999023,0.00-0.49,2-5,RSVQA Specialist v1,False,
23520,235,count,What is the amount of roads?,amount-of,road,24,18,0.07609216868877411,0.00-0.49,21-50,RSVQA Specialist v1,False,
23522,235,presence,Is a commercial building present?,present,building,yes,no,0.9339557886123657,0.90-1.00,n/a,RSVQA Specialist v1,False,
23535,235,presence,Is there a commercial building on the left of a  road?,is-there,building,yes,no,0.7549861669540405,0.75-0.89,n/a,RSVQA Specialist v1,False,
23539,235,comp,Are there more forests than residential buildings?,more-than,forest vs building,yes,no,0.712390661239624,0.50-0.74,n/a,RSVQA Specialist v1,False,
23541,235,presence,Is a road at the top of the  commercial building present?,present,road,yes,no,0.9297158122062683,0.90-1.00,n/a,RSVQA Specialist v1,False,
23542,235,presence,Is a rectangular commercial building present?,present,building,yes,no,0.9780950546264648,0.90-1.00,n/a,RSVQA Specialist v1,False,
23543,235,count,What is the number of grass areas?,number-of,grassland,1,3,0.17774705588817596,0.00-0.49,1,RSVQA Specialist v1,False,
23544,235,count,How many small residential buildings are there?,how-many,building,3,58,0.04633234441280365,0.00-0.49,2-5,RSVQA Specialist v1,False,
23547,235,count,How many rectangular buildings are there?,how-many,building,4,19,0.07442130148410797,0.00-0.49,2-5,RSVQA Specialist v1,False,
23548,235,count,How many large scrubs on the right of a  road are there?,how-many,scrub,5,10,0.13617324829101562,0.00-0.49,2-5,RSVQA Specialist v1,False,
23554,235,count,What is the amount of small buildings?,amount-of,building,5,16,0.09620903432369232,0.00-0.49,2-5,RSVQA Specialist v1,False,
23557,235,count,How many residential buildings at the top of a  road are there?,how-many,building,3,66,0.07008195668458939,0.00-0.49,2-5,RSVQA Specialist v1,False,
23564,235,comp,Are there more residential buildings than islands?,more-than,building,yes,no,0.6804750561714172,0.50-0.74,n/a,RSVQA Specialist v1,False,
23566,235,count,What is the amount of small scrubs?,amount-of,scrub,0,1,0.4129035770893097,0.00-0.49,0,RSVQA Specialist v1,False,
23567,235,comp,Are there less residential buildings than scrubs?,less-than,building vs scrub,yes,no,0.8340305685997009,0.75-0.89,n/a,RSVQA Specialist v1,False,
23570,235,comp,Are there more commercial buildings than large roads in the image?,more-than,building vs road,yes,no,0.7965715527534485,0.75-0.89,n/a,RSVQA Specialist v1,False,
23577,235,comp,Are there more scrubs than residential buildings?,more-than,scrub vs building,yes,no,0.8462158441543579,0.75-0.89,n/a,RSVQA Specialist v1,False,
23578,235,count,What is the number of scrubs on the left of a  residential building?,number-of,scrub,0,10,0.2232530415058136,0.00-0.49,0,RSVQA Specialist v1,False,
23582,235,count,How many small roads are there?,how-many,road,24,29,0.05233805626630783,0.00-0.49,21-50,RSVQA Specialist v1,False,
23585,235,count,How many residential buildings on the right of a  road are there?,how-many,building,3,66,0.06271655857563019,0.00-0.49,2-5,RSVQA Specialist v1,False,
23586,235,count,What is the number of large scrubs?,number-of,scrub,6,10,0.14689698815345764,0.00-0.49,6-10,RSVQA Specialist v1,False,
23587,235,count,What is the amount of scrubs at the top of a  road?,amount-of,scrub,6,10,0.14675761759281158,0.00-0.49,6-10,RSVQA Specialist v1,False,
23591,235,comp,Are there more small residential buildings than forests?,more-than,building vs forest,no,yes,0.5466680526733398,0.50-0.74,n/a,RSVQA Specialist v1,False,
23592,235,count,What is the number of rectangular commercial buildings?,number-of,building,1,0,0.9699252247810364,0.90-1.00,1,RSVQA Specialist v1,False,
23593,235,count,How many rectangular residential buildings are there in the image?,how-many,building,3,19,0.08251214027404785,0.00-0.49,2-5,RSVQA Specialist v1,False,
23596,235,count,What is the number of roads on the left of a  scrub?,number-of,road,22,12,0.1073400229215622,0.00-0.49,21-50,RSVQA Specialist v1,False,
23598,235,comp,Are there more buildings than scrubs in the image?,more-than,building vs scrub,no,yes,0.671840250492096,0.50-0.74,n/a,RSVQA Specialist v1,False,
23599,235,count,How many scrubs next to a  residential building are there in the image?,how-many,scrub,7,10,0.1969275325536728,0.00-0.49,6-10,RSVQA Specialist v1,False,
23613,236,count,What is the amount of roads?,amount-of,road,47,66,0.056566737592220306,0.00-0.49,21-50,RSVQA Specialist v1,False,
23614,236,count,What is the number of buildings?,number-of,building,136,201+,0.9863135814666748,0.90-1.00,101-200,RSVQA Specialist v1,False,
23616,236,count,How many residential buildings are there?,how-many,building,118,201+,0.9842623472213745,0.90-1.00,101-200,RSVQA Specialist v1,False,
23617,236,count,What is the amount of grass areas?,amount-of,grassland,120,201+,0.03291976824402809,0.00-0.49,101-200,RSVQA Specialist v1,False,
23621,236,count,What is the amount of water areas?,amount-of,water,25,15,0.08099482208490372,0.00-0.49,21-50,RSVQA Specialist v1,False,
23630,236,count,How many forests are there in the image?,how-many,forest,49,41,0.039646804332733154,0.00-0.49,21-50,RSVQA Specialist v1,False,
23631,236,presence,Is a square grass area present?,present,grassland,no,yes,0.9060555100440979,0.90-1.00,n/a,RSVQA Specialist v1,False,
23634,236,count,How many commercial buildings are there in the image?,how-many,building,9,15,0.07672283053398132,0.00-0.49,6-10,RSVQA Specialist v1,False,
23642,236,comp,Are there more grass areas than roads?,more-than,grassland vs road,yes,no,0.5367065072059631,0.50-0.74,n/a,RSVQA Specialist v1,False,
23644,236,comp,Are there less grass areas than residential buildings?,less-than,grassland vs building,no,yes,0.9921274185180664,0.90-1.00,n/a,RSVQA Specialist v1,False,
23645,236,presence,Is there a circular water area?,is-there,water,no,yes,0.9869914650917053,0.90-1.00,n/a,RSVQA Specialist v1,False,
23655,236,count,What is the number of rectangular commercial buildings?,number-of,building,7,3,0.27068495750427246,0.00-0.49,6-10,RSVQA Specialist v1,False,
23657,236,count,What is the number of square residential buildings?,number-of,building,1,2,0.4134701192378998,0.00-0.49,1,RSVQA Specialist v1,False,
23658,236,comp,Are there less roads than forests?,less-than,road vs forest,yes,no,0.9537211656570435,0.90-1.00,n/a,RSVQA Specialist v1,False,
23662,236,count,What is the amount of small residential buildings?,amount-of,building,112,201+,0.9670851826667786,0.90-1.00,101-200,RSVQA Specialist v1,False,
23666,236,count,How many large water areas are there?,how-many,water,14,5,0.12350229918956757,0.00-0.49,11-20,RSVQA Specialist v1,False,
23669,236,count,What is the number of commercial buildings at the top of a  large water area?,number-of,building,9,2,0.32991743087768555,0.00-0.49,6-10,RSVQA Specialist v1,False,
23670,236,count,What is the number of forests at the top of a  commercial building?,number-of,forest,48,20,0.0610346756875515,0.00-0.49,21-50,RSVQA Specialist v1,False,
23672,236,count,What is the number of farmlands?,number-of,agriculture,11,15,0.12572237849235535,0.00-0.49,11-20,RSVQA Specialist v1,False,
23675,236,count,What is the number of medium commercial buildings?,number-of,building,0,1,0.2934899628162384,0.00-0.49,0,RSVQA Specialist v1,False,
23677,236,count,What is the amount of small commercial buildings?,amount-of,building,9,3,0.12168997526168823,0.00-0.49,6-10,RSVQA Specialist v1,False,
23679,236,presence,Is there a square water area?,is-there,water,no,yes,0.9663171768188477,0.90-1.00,n/a,RSVQA Specialist v1,False,
23683,236,count,What is the amount of water areas at the bottom of a  commercial building?,amount-of,water,16,15,0.150760680437088,0.00-0.49,11-20,RSVQA Specialist v1,False,
23686,236,presence,Is a large building present?,present,building,no,yes,0.9893603324890137,0.90-1.00,n/a,RSVQA Specialist v1,False,
23689,236,count,What is the amount of small roads?,amount-of,road,47,116,0.08124922960996628,0.00-0.49,21-50,RSVQA Specialist v1,False,
23690,236,count,How many rectangular residential buildings are there?,how-many,building,69,201+,0.9698067307472229,0.90-1.00,51-100,RSVQA Specialist v1,False,
23692,236,comp,Are there more residential buildings than grass areas?,more-than,building vs grassland,no,yes,0.9931091070175171,0.90-1.00,n/a,RSVQA Specialist v1,False,
23697,236,count,What is the amount of small buildings?,amount-of,building,130,201+,0.9759471416473389,0.90-1.00,101-200,RSVQA Specialist v1,False,
23699,236,comp,Are there less residential buildings than grass areas?,less-than,building vs grassland,yes,no,0.9638630151748657,0.90-1.00,n/a,RSVQA Specialist v1,False,
23700,236,comp,Are there more medium water areas than grass areas?,more-than,water vs grassland,no,yes,0.52254319190979,0.50-0.74,n/a,RSVQA Specialist v1,False,
23709,237,count,How many residential buildings are there?,how-many,building,989,201+,0.9965069890022278,0.90-1.00,201+,RSVQA Specialist v1,False,
23710,237,count,What is the amount of grass areas?,amount-of,grassland,272,201+,0.861359715461731,0.75-0.89,201+,RSVQA Specialist v1,False,
23711,237,count,What is the amount of roads?,amount-of,road,259,201+,0.9462209343910217,0.90-1.00,201+,RSVQA Specialist v1,False,
23712,237,count,What is the number of buildings?,number-of,building,1067,201+,0.9976170659065247,0.90-1.00,201+,RSVQA Specialist v1,False,
23716,237,count,What is the amount of water areas in the image?,amount-of,water,56,31,0.09161016345024109,0.00-0.49,51-100,RSVQA Specialist v1,False,
23719,237,count,What is the number of commercial buildings?,number-of,building,71,20,0.08751221746206284,0.00-0.49,51-100,RSVQA Specialist v1,False,
23723,237,count,What is the amount of small grass areas?,amount-of,grassland,38,28,0.10839806497097015,0.00-0.49,21-50,RSVQA Specialist v1,False,
23725,237,comp,Are there more commercial buildings than water areas?,more-than,building vs water,yes,no,0.808901846408844,0.75-0.89,n/a,RSVQA Specialist v1,False,
23733,237,count,How many rectangular residential buildings are there?,how-many,building,564,201+,0.9959837198257446,0.90-1.00,201+,RSVQA Specialist v1,False,
23735,237,count,What is the number of forests?,number-of,forest,58,28,0.06160328537225723,0.00-0.49,51-100,RSVQA Specialist v1,False,
23742,237,comp,Are there less commercial buildings than water areas?,less-than,building vs water,no,yes,0.5782437324523926,0.50-0.74,n/a,RSVQA Specialist v1,False,
23743,237,count,What is the number of small commercial buildings?,number-of,building,60,20,0.07860829681158066,0.00-0.49,51-100,RSVQA Specialist v1,False,
23744,237,count,How many rectangular water areas are there?,how-many,water,13,31,0.0694439709186554,0.00-0.49,11-20,RSVQA Specialist v1,False,
23750,237,count,What is the number of small water areas?,number-of,water,29,28,0.09641620516777039,0.00-0.49,21-50,RSVQA Specialist v1,False,
23752,237,presence,Is there a large commercial building?,is-there,building,yes,no,0.5382057428359985,0.50-0.74,n/a,RSVQA Specialist v1,False,
23761,237,count,How many large grass areas are there?,how-many,grassland,183,201+,0.6503030061721802,0.50-0.74,101-200,RSVQA Specialist v1,False,
23763,237,count,What is the number of medium buildings?,number-of,building,19,11,0.09124269336462021,0.00-0.49,11-20,RSVQA Specialist v1,False,
23768,237,count,What is the amount of medium water areas?,amount-of,water,14,8,0.1052301749587059,0.00-0.49,11-20,RSVQA Specialist v1,False,
23769,237,count,What is the number of circular grass areas?,number-of,grassland,3,0,0.7728103995323181,0.75-0.89,2-5,RSVQA Specialist v1,False,
23770,237,count,How many farmlands are there in the image?,how-many,agriculture,16,1,0.09325090795755386,0.00-0.49,11-20,RSVQA Specialist v1,False,
23771,237,count,How many small buildings are there?,how-many,building,1047,201+,0.9970703125,0.90-1.00,201+,RSVQA Specialist v1,False,
23772,237,count,What is the amount of rectangular buildings?,amount-of,building,590,201+,0.9976181387901306,0.90-1.00,201+,RSVQA Specialist v1,False,
23774,237,count,What is the amount of rectangular grass areas?,amount-of,grassland,27,28,0.08951912820339203,0.00-0.49,21-50,RSVQA Specialist v1,False,
23777,237,comp,Are there more grass areas than roads?,more-than,grassland vs road,yes,no,0.7445036172866821,0.50-0.74,n/a,RSVQA Specialist v1,False,
23779,237,comp,Are there less commercial buildings than forests?,less-than,building vs forest,no,yes,0.9088906645774841,0.90-1.00,n/a,RSVQA Specialist v1,False,
23780,237,comp,Are there more water areas than farmlands?,more-than,water vs agriculture,yes,no,0.760818362236023,0.75-0.89,n/a,RSVQA Specialist v1,False,
23783,237,count,How many parkings are there?,how-many,scene,3,9,0.1489320695400238,0.00-0.49,2-5,RSVQA Specialist v1,False,
23784,237,count,What is the number of circular residential buildings?,number-of,building,2,0,0.43323490023612976,0.00-0.49,2-5,RSVQA Specialist v1,False,
23787,237,count,What is the amount of medium grass areas?,amount-of,grassland,51,19,0.07398103922605515,0.00-0.49,51-100,RSVQA Specialist v1,False,
23789,237,count,What is the number of large buildings?,number-of,building,1,0,0.569820761680603,0.50-0.74,1,RSVQA Specialist v1,False,
23792,237,count,What is the amount of circular buildings?,amount-of,building,2,0,0.366586834192276,0.00-0.49,2-5,RSVQA Specialist v1,False,
23795,237,count,What is the number of square residential buildings?,number-of,building,2,0,0.5213804841041565,0.50-0.74,2-5,RSVQA Specialist v1,False,
23797,237,comp,Is the number of rectangular roads equal to the number of rectangular roads?,equal-to,road vs road,yes,no,0.9598751664161682,0.90-1.00,n/a,RSVQA Specialist v1,False,
23799,237,count,How many small residential buildings are there?,how-many,building,981,201+,0.9971043467521667,0.90-1.00,201+,RSVQA Specialist v1,False,
23801,237,comp,Are there more water areas than commercial buildings?,more-than,water vs building,no,yes,0.5229859352111816,0.50-0.74,n/a,RSVQA Specialist v1,False,
23804,237,count,How many square buildings are there?,how-many,building,2,1,0.32367414236068726,0.00-0.49,2-5,RSVQA Specialist v1,False,
23806,237,count,How many rectangular forests are there?,how-many,forest,16,8,0.10252439230680466,0.00-0.49,11-20,RSVQA Specialist v1,False,
23809,238,count,What is the number of grass areas?,number-of,grassland,113,201+,0.5570703148841858,0.50-0.74,101-200,RSVQA Specialist v1,False,
23811,238,count,How many forests are there?,how-many,forest,26,48,0.04828346148133278,0.00-0.49,21-50,RSVQA Specialist v1,False,
23818,238,count,How many pitchs on the left of a  water area are there?,how-many,water,7,31,0.07065751403570175,0.00-0.49,6-10,RSVQA Specialist v1,False,
23821,238,count,How many commercial buildings are there?,how-many,building,152,51,0.037179648876190186,0.00-0.49,101-200,RSVQA Specialist v1,False,
23822,238,count,How many buildings are there in the image?,how-many,building,3893,201+,0.9953136444091797,0.90-1.00,201+,RSVQA Specialist v1,False,
23825,238,count,How many residential buildings are there?,how-many,building,3510,201+,0.9963789582252502,0.90-1.00,201+,RSVQA Specialist v1,False,
23828,238,count,How many circular buildings are there?,how-many,building,2,0,0.2686437666416168,0.00-0.49,2-5,RSVQA Specialist v1,False,
23831,238,count,How many farmlands are there in the image?,how-many,agriculture,616,28,0.07955286651849747,0.00-0.49,201+,RSVQA Specialist v1,False,
23833,238,presence,Is there a circular grass area?,is-there,grassland,yes,no,0.694843053817749,0.50-0.74,n/a,RSVQA Specialist v1,False,
23834,238,count,What is the number of roads in the image?,number-of,road,652,201+,0.9866001009941101,0.90-1.00,201+,RSVQA Specialist v1,False,
23841,238,count,How many square grass areas are there?,how-many,grassland,3,1,0.5317345261573792,0.50-0.74,2-5,RSVQA Specialist v1,False,
23842,238,presence,Is there a square building?,is-there,building,yes,no,0.5418712496757507,0.50-0.74,n/a,RSVQA Specialist v1,False,
23845,238,count,What is the amount of square residential buildings?,amount-of,building,2,0,0.4813007414340973,0.00-0.49,2-5,RSVQA Specialist v1,False,
23846,238,count,What is the amount of medium residential buildings?,amount-of,building,24,19,0.07011138647794724,0.00-0.49,21-50,RSVQA Specialist v1,False,
23849,238,count,What is the amount of scrubs?,amount-of,scrub,1,3,0.13841675221920013,0.00-0.49,1,RSVQA Specialist v1,False,
23855,238,count,What is the amount of small water areas in the image?,amount-of,water,11,31,0.05901157855987549,0.00-0.49,11-20,RSVQA Specialist v1,False,
23857,238,count,What is the number of large commercial buildings?,number-of,building,11,1,0.26373520493507385,0.00-0.49,11-20,RSVQA Specialist v1,False,
23863,238,count,What is the amount of rectangular commercial buildings?,amount-of,building,54,7,0.06252112984657288,0.00-0.49,51-100,RSVQA Specialist v1,False,
23866,238,count,What is the number of rectangular grass areas?,number-of,grassland,24,28,0.11372999846935272,0.00-0.49,21-50,RSVQA Specialist v1,False,
23871,238,comp,Are there more grass areas than commercial buildings?,more-than,grassland vs building,no,yes,0.8886796236038208,0.75-0.89,n/a,RSVQA Specialist v1,False,
23880,238,comp,Are there less farmlands than commercial buildings?,less-than,agriculture vs building,yes,no,0.6128917932510376,0.50-0.74,n/a,RSVQA Specialist v1,False,
23881,238,count,What is the number of industrials?,number-of,scene,5,3,0.2958378493785858,0.00-0.49,2-5,RSVQA Specialist v1,False,
23884,238,count,How many large water areas are there in the image?,how-many,water,14,31,0.08720255643129349,0.00-0.49,11-20,RSVQA Specialist v1,False,
23885,238,count,What is the number of meadows?,number-of,scene,19,10,0.07327043265104294,0.00-0.49,11-20,RSVQA Specialist v1,False,
23887,238,count,What is the number of small roads?,number-of,road,652,201+,0.9863104820251465,0.90-1.00,201+,RSVQA Specialist v1,False,
23899,238,count,What is the amount of large residential buildings?,amount-of,building,2,1,0.18308405578136444,0.00-0.49,2-5,RSVQA Specialist v1,False,
